iter	Logloss
140	0.1868540252
141	0.1866886422
142	0.1864532992
143	0.1862402423
144	0.1860765778
145	0.1859443435
146	0.1856534186
147	0.1854537729
148	0.1852455553
149	0.1850070128
150	0.184698273
151	0.1843064923
152	0.1839430247
153	0.1837390841
154	0.1835120383
155	0.1832502837
156	0.1830853335
157	0.182961028
158	0.182782812
159	0.1825611926
160	0.18231977
161	0.1820705877
162	0.1818732236
163	0.181507379
164	0.1813016417
165	0.1810782328
166	0.1807887334
167	0.1806367899
168	0.1804963886
169	0.18022662
170	0.1798645936
171	0.1795730351
172	0.1792861251
173	0.1790957306
174	0.1789081616
175	0.1786838179
176	0.1784879392
177	0.1783854548
178	0.1780652504
179	0.1777959884
180	0.1776782409
181	0.1775327748
182	0.1772828393
183	0.1771547137
184	0.1769672782
185	0.17678747
186	0.176585778
187	0.176423098
188	0.1762265879
189	0.1760639041
190	0.1759296996
191	0.175832926
192	0.1756138919
193	0.1755524273
194	0.1754156063
195	0.1753004599
196	0.1752200731
197	0.1749571304
198	0.1747124152
199	0.1745556251
200	0.1744446745
201	0.1741698932
202	0.1739404735
203	0.1737502061
204	0.173580852
205	0.1734278476
206	0.1731726242
207	0.1730222173
208	0.1728371946
209	0.1726891489
210	0.1725271165
211	0.1723643702
212	0.1721951392
213	0.1719886131
214	0.1717466044
215	0.1715680644
216	0.1713875292
217	0.1711762026
218	0.1708962928
219	0.1707051355
220	0.1705766075
221	0.1704411729
222	0.1702611685
223	0.1701407468
224	0.1700267622
225	0.1698950998
226	0.1697707581
227	0.1696451391
228	0.1694945053
229	0.1693121635
230	0.169208535
231	0.1689571825
232	0.1687849818
233	0.1686233834
234	0.1683095363
235	0.168122823
236	0.1679661339
237	0.1678298721
238	0.1676540505
239	0.1674314784
240	0.1673275712
241	0.1670857843
242	0.166921687
243	0.1667044853
244	0.1664722343
245	0.1663130884
246	0.1661830059
247	0.1660228631
248	0.1657248714
249	0.1656106686
250	0.1654867115
251	0.1653601747
252	0.1652200201
253	0.1649271449
254	0.1646999426
255	0.1645984632
256	0.1644581798
257	0.1643386953
258	0.1642119605
259	0.1640979195
260	0.1639084425
261	0.1637204411
262	0.1636165939
263	0.1635200166
264	0.1633860485
265	0.1633179419
266	0.1631619581
267	0.162933702
268	0.1627413783
269	0.1625522253
270	0.1623337676
271	0.1622062902
272	0.162089147
273	0.1619627028
274	0.1617872515
275	0.1616231049
276	0.1614203744
277	0.1612609094
278	0.1610072128
279	0.1608228164
280	0.1607106122
281	0.1605245996
282	0.1603169473
283	0.1602458399
284	0.1600994427
285	0.1598835183
286	0.1597654637
287	0.1596272582
288	0.1593312913
289	0.1592247381
290	0.1590700545
291	0.158943829
292	0.1587989227
293	0.1586082567
294	0.1583992101
295	0.1583156842
296	0.1582199566
297	0.1580866938
298	0.1580050547
299	0.157893231
300	0.157757502
301	0.1576568484
302	0.157465496
303	0.1573660828
304	0.1571588312
305	0.1570808026
306	0.1569438995
307	0.1568324374
308	0.1565969958
309	0.1564924222
310	0.156421435
311	0.1561847659
312	0.156105372
313	0.1559050278
314	0.1557839198
315	0.1556017448
316	0.1554552328
317	0.1554004175
318	0.155292635
319	0.1550563868
320	0.1549627533
321	0.1548816024
322	0.154723113
323	0.1545889607
324	0.1544388018
325	0.1541931812
326	0.1540347215
327	0.1538698213
328	0.1537014022
329	0.1536034728
330	0.1535159327
331	0.1533490213
332	0.1531337531
333	0.1530246796
334	0.1528428774
335	0.1527275304
336	0.1526257349
337	0.1525013405
338	0.1524377903
339	0.1523840806
340	0.1523068993
341	0.1522218322
342	0.1520492833
343	0.1519121309
344	0.1517957994
345	0.1516916986
346	0.1516092983
347	0.1514222176
348	0.151229635
349	0.1510862433
