co_ref,total_cc_calls,last_cc_call,cutoff_date,days_since_last_cc_call,cc_calls_last_7,cc_calls_last_30,total_complaints,customer_issues,financial_issues,pricing_mentions,avg_cc_sentiment,repeat_call_ratio,high_call_volume
AM6725,1,2024-05-11,2024-12-24,227,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AN2766,1,2025-02-07,2025-05-29,111,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
AN7102,6,2024-05-12,2025-08-20,465,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1
AN7102,6,2024-05-12,2026-08-20,830,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1
AN7102,6,2024-05-12,2024-08-20,100,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1
AN7937,1,2025-09-07,2025-09-23,16,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AO1983,1,2025-01-12,2025-04-27,105,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AP7473,1,2025-11-07,2025-11-23,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AS5159,1,2024-04-12,2025-08-26,501,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AS7997,1,2025-02-04,2025-05-26,111,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AS9879,9,2025-11-11,2025-10-20,-22,0.0,0.0,0.0,0.0,0.0,0.0,86.11111111111111,0.0,1
AS9879,9,2025-11-11,2026-10-20,343,0.0,0.0,0.0,0.0,0.0,0.0,86.11111111111111,0.0,1
AS9879,9,2025-11-11,2024-10-20,-387,0.0,0.0,0.0,0.0,0.0,0.0,86.11111111111111,0.0,1
AT0197,1,2025-04-11,2025-05-28,47,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AT9943,2,2025-09-06,2025-11-23,78,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0
AV9662,3,2026-06-01,2025-10-20,-224,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AV9662,3,2026-06-01,2026-10-20,141,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AW1551,1,2025-02-04,2025-09-27,235,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AW3140,1,2025-08-12,2026-07-18,340,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AW7455,1,2025-01-05,2025-05-28,143,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AW8721,1,2025-01-04,2025-07-21,198,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AW9294,3,2026-07-01,2025-08-20,-315,0.0,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,0
AW9294,3,2026-07-01,2026-08-20,50,0.0,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,0
AX0140,3,2025-07-10,2025-09-26,78,0.0,0.0,0.0,0.0,0.0,0.0,58.333333333333336,0.0,0
