co_ref,prospect_renewal_date,cutoff_date,renewal_year,churn_14,prospect_outcome,tenure_years,payment_method,band,proforma_auto_renewal,proforma_world_pay_token,total_spent,avg_payment,num_payments,last_payment_date,days_since_last_payment,total_calls,last_call_date,price_discussions,discount_requests,calls_last_7,calls_last_14,calls_last_30,days_since_last_call,recent_call_ratio,total_cc_calls,last_cc_call,total_complaints,customer_issues,pricing_mentions,avg_cc_sentiment,cc_calls_last_30,days_since_last_cc_call,repeat_call_ratio,total_interactions,interactions_14_days,pre_renewal_interactions,complaints,negative_experience,support_issues,financial_stress,price_dissatisfaction,avg_sentiment,agent_followups,last_moment_engagement_ratio,engagement_score
CR5316,2025-06-04,2025-05-21,2025,0,Won,7.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-05-12,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,1.0,1.0,0.0,0.0,66.66666666666667,4.0,0.3333333333333333,2
UT6608,2026-02-12,2026-01-29,2026,0,Won,7.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2026-01-16,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,2,0.0,0.0,0.0,0.0,1.0,80.0,2.0,0.3333333333333333,6
CA5819,2026-01-08,2025-12-25,2026,0,Won,8.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
QF4953,2026-02-08,2026-01-25,2026,0,Won,9.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.2,4
NA0616,2026-01-12,2025-12-29,2026,0,Won,9.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3
DA7009,2025-10-07,2025-09-23,2025,0,Won,14.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-09-10,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,65.0,5.0,0.3333333333333333,3
RH6528,2025-12-04,2025-11-20,2025,0,Won,13.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0
VK7340,2025-08-03,2025-07-20,2025,0,Won,8.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.3333333333333333,2
BV8370,2025-07-08,2025-06-24,2025,0,Won,7.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-06-12,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,1.0,0.0,0.0,0.0,35.0,6.0,0.3333333333333333,3
EA5014,2025-05-07,2025-04-23,2025,0,Won,21.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-04-10,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,1.0,1.0,1.0,0.0,0.0,35.0,3.0,0.3333333333333333,3
TM0090,2026-01-10,2025-12-27,2026,0,Won,13.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-12-15,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EK6359,2025-08-10,2025-07-27,2025,0,Won,20.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-07-15,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,0.0,0.0,0.0,0.0,50.0,6.0,0.25,3
ZI8245,2026-01-09,2025-12-26,2026,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,5.0,2025-12-15,0.0,0.0,0.0,1.0,1.0,11.0,0.2,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3333333333333333,3
OW7161,2025-12-09,2025-11-25,2025,0,Won,4.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-11-12,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0
MR8866,2025-11-10,2025-10-27,2025,0,Won,2.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-10-14,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.5,2
GV0815,2025-12-04,2025-11-20,2025,0,Won,2.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,3.0,2025-11-07,0.0,0.0,0.0,1.0,1.0,13.0,0.3333333333333333,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,50.0,8.0,0.0,0
MN1820,2025-12-05,2025-11-21,2025,0,Won,2.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,10.0,2025-11-11,1.0,0.0,0.0,2.0,2.0,10.0,0.2,1.0,2025-09-05,0.0,0.0,1.0,80.0,0.0,77.0,0.0,3,1,0,0.0,1.0,0.0,1.0,1.0,60.0,6.0,0.3333333333333333,2
YG0798,2026-01-05,2025-12-22,2026,0,Won,2.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-12-10,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
BF8057,2026-01-05,2025-12-22,2026,0,Won,2.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-12-09,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,7.0,0.3333333333333333,2
KH5438,2025-12-07,2025-11-23,2025,0,Won,2.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-11-10,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3333333333333333,2
PI8534,2025-11-02,2025-10-19,2025,0,Won,2.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-10-06,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.3333333333333333,2
MV7283,2026-02-07,2026-01-24,2026,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2026-01-20,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,1,0.0,1.0,1.0,0.0,0.0,60.0,7.0,0.2857142857142857,5
BB9418,2026-02-05,2026-01-22,2026,0,Won,8.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2026-01-16,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,1.0,2.0,1.0,1.0,0.0,50.0,5.0,0.4,4
JI2199,2026-01-10,2025-12-27,2026,0,Won,7.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,4.0,2025-02-05,2.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.25,3
XA2028,2026-01-08,2025-12-25,2026,0,Won,12.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-12-16,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2
MV4834,2026-01-06,2025-12-23,2026,0,Won,4.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,17.0,2025-12-17,3.0,1.0,1.0,1.0,1.0,6.0,0.058823529411764705,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,3
SV8704,2026-01-06,2025-12-23,2026,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-12-11,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
OI9568,2026-01-11,2025-12-28,2026,0,Won,4.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,7.0,2025-12-15,0.0,1.0,0.0,1.0,1.0,13.0,0.14285714285714285,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.3333333333333333,3
YL9933,2026-01-12,2025-12-29,2026,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-12-17,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.3333333333333333,2
IS0914,2025-12-01,2025-11-17,2025,0,Won,5.0,CARD,Band B,True,True,704.0,704.0,1.0,2024-12-01,351.0,6.0,2025-11-04,0.0,0.0,0.0,1.0,1.0,13.0,0.16666666666666666,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,1.0,0.0,1.0,1.0,65.0,5.0,0.5,2
JP2548,2025-12-01,2025-11-17,2025,0,Won,4.0,CARD,Band B,True,True,704.0,704.0,1.0,2024-12-01,351.0,2.0,2025-11-04,1.0,0.0,0.0,1.0,1.0,13.0,0.5,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,1.0,0.0,60.0,4.0,0.3333333333333333,2
PJ3383,2025-12-12,2025-11-28,2025,0,Won,6.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,0.3333333333333333,2
PS4078,2025-10-04,2025-09-20,2025,0,Won,4.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,0.0,0.0,0.0,0.0,50.0,7.0,0.25,3
RF2991,2025-12-07,2025-11-23,2025,0,Won,15.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-11-11,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,0.0,0.0,0.0,0.0,50.0,9.0,0.25,3
AT6759,2025-10-11,2025-09-27,2025,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,3.0,2025-09-15,0.0,0.0,0.0,1.0,1.0,12.0,0.3333333333333333,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1.0,1.0,1.0,0.0,0.0,20.0,6.0,0.5,2
GU1390,2025-08-01,2025-07-18,2025,0,Won,3.0,CARD,Band B,True,True,664.0,664.0,1.0,2024-08-01,351.0,7.0,2024-08-27,1.0,1.0,0.0,0.0,0.0,325.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,2.0,0.0,0.0,0.0,50.0,9.0,0.0,1
NP5730,2025-06-08,2025-05-25,2025,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-05-13,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,1.0,1.0,50.0,2.0,0.5,2
FW8033,2025-05-06,2025-04-22,2025,0,Won,17.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2025-04-10,0.0,0.0,0.0,2.0,2.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.5,2
IQ3705,2025-07-09,2025-06-25,2025,0,Won,11.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-06-25,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,1.0,1.0,0.0,0.0,0.0,20.0,6.0,0.25,3
ML3271,2025-03-10,2025-02-24,2025,0,Won,5.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-19,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BO9629,2025-03-12,2025-02-26,2025,0,Won,6.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-13,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XN2747,2025-07-04,2025-06-20,2025,0,Won,7.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,3.0,2025-06-09,0.0,0.0,0.0,1.0,1.0,11.0,0.3333333333333333,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,80.0,6.0,0.3333333333333333,2
PO0939,2025-08-01,2025-07-18,2025,0,Won,3.0,CARD,Band B,True,True,664.0,664.0,1.0,2024-08-01,351.0,1.0,2025-07-07,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,0.0,0.0,0.0,0.0,50.0,8.0,0.25,3
ES4168,2025-07-07,2025-06-23,2025,0,Won,10.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.3333333333333333,2
